product_name,price,shipping_country
Shop on eBay,$20.00,from United Kingdom
GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE 1‎0GB GDDR6X Graphics Card GPU,"$1,046.49",from United Kingdom
NEW LISTINGASUS TUF Gaming GeForce RTX 3080 10GB TUF-RTX3080-10G-GAMING GPU,$721.74,from United States
NEW LISTING,$729.00,from United States
ASUS GeForce RTX 3080 TUF GAMING OC 12GB LHR GPU,$300.00,from United States
*RECENTLY BROKEN* MSI 4Y12V Dell NVIDIA RTX 3080 10GB GDDR6X Graphics Card GPU,$599.95,from United Kingdom
NVIDIA GeForce RTX 3080 10GB GDDR6X GPU Graphics Card HP OMEN NO BOX NON-LHR,$781.89,from Canada
Nvidia GeForce RTX 3080 (10GB Version) MSI VENTUS 3X PLUS OC Graphics Card (GPU),"$1,401.53",from United States
Upgrade GPU for Clevo X170KM: NVIDIA RTX 3080 GN20-E7-A1; 16GB GDDR6; MXM3.2,$874.99,from China
NVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X GPU 8K (4320p),"$1,210.00",from United States
NVIDIA GeForce RTX 3080 FE Founders Edition 10GB GDDR6X Graphics Card GPU,$799.99,from Taiwan
ASUS TUF RTX 3080 10GB GPU Graphics Card TUF-RTX3080-10G-V2-GAMING,$110.00,from United Kingdom
"\No GPU\"" MSI GeForce RTX 3080Ti SUPRIM X Air Cooler heatsink and Fan""",$986.37,from United Kingdom
EVGA NVIDIA GeForce RTX 3080 XC3 ULTRA 10GB LHR 10G-P5-3885-KL PCI-E Gaming GPU,$792.71,from United Kingdom
"Zotac RTX 3080 graphic card, GPU + EK water block, watercooling","$1,178.83",from United Kingdom
MSI NVIDIA GeForce RTX 3080 10GB GDDR6x GAMING X TRIO Graphics Card GPU O,"$2,285.50",from China
Gigabyte GeForce RTX 3080 Aorus Master 10GB GDDR6X GPU ✅NEW ✅ V1.0 ✅NON-LHR ✅,$919.88,from United States
GPU GeForce RTX 3080Ti GDDR6X Graphics Card vedio card LHR,$749.99,from United States
Gigabyte GeForce RTX 3080 10GB GAMING OC LED GDDR6X Video Graphics Card GPU,"$1,749.00",from United States
ASUS Rog Strix Nvidia GeForce RTX 3080 White GPU Graphics Card for Gaming PC,"$1,750.00",from United Kingdom
MSI GeForce RTX 3080 Sea Hawk 10GB GDDR6X LHR Video Card with Water Cooler GPU,$902.18,from United States
Nvidia GeForce RTX 3080 (10GB Version) MSI VENTUS 3X PLUS OC Graphics Card (GPU),$969.00,from United States
Nvidia GeForce RTX 3080 Founders Edition - Non-LHR,"$2,199.00",from Israel
NVIDIA GeForce RTX 3080 Ti 12GB Graphics Card GPU FREE Shipping,"$1,099.99",from United Kingdom
MLLSE RTX 3080Ti 12GB NVIDIA Game GPU 8Pin+8Pin GDDR6X 384bit HDMI*1 DP*3 PCI-E,"$1,263.03",from United Kingdom
"4Y12V, Y5K9F New Dell NVIDIA GEFORCE RTX 3080 10GB GDDR6X GPU GRAPHICS CARD",$108.26,from United Kingdom
@COOLER ONLY!NO GPU@ MSI GeForce RTX 3080 GAMING Z TRIO Heatsink Fan Replacement,$144.35,from United States
@COOLER ONLY! NO GPU@ MSI GeForce RTX 3080 Suprim X heatsink And Fan Replacement,$900.00,from United States
Watercooled EVGA GeForce RTX 3080 Ti FTW3 ULTRA GPU w/ EK Vector2 ABP set block,$950.00,from United Kingdom
EVGA GeForce RTX 3080 Ti XC3 ULTRA GAMING 12GB GDDR6X Graphics Card GPU,"$2,886.96",from United States
4-Gpu-NVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X Graphics Card,"$1,898.00",from United States
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB Graphics GPU Card New W/Receipt,$974.95,from United Kingdom
MSI GeForce RTX 3080 Ventus 3X 10G OC NON LHR 10GB GDDR6X GPU NEW SEALED RARE,"$1,804.35",from United States
DELL NVIDIA GEFORCE RTX 3080 10GB GDDR6X GPU GRAPHICS CARD - 4Y12V *NON-LHR*,$950.00,from United States
PNY GeForce RTX 3080 Ti XLR8 Gaming REVEL EPIC-X RGB Triple Fan 12GB GDDR6X GPU,"$1,050.00",from United States
3080 Founders Edition NON LHR RTX 10GB Graphics Card GPU BRAND NEW FREE 2 Day ✈️,$890.00,from United States
rtx 3080 16gb GPU extremely good for gaming. Works good on high performance.,$950.00,from United States
Zotac Gaming GeForce RTX 3080 Ti 12GB AMP Holo | GA102 GDDR6X GPU Graphics Card,$865.00,from Canada
✅Gigabyte Aorus GeForce RTX 3080 XTREME 10G REV2.0 LHR GPU FREE SHIP,$885.64,from United Kingdom
GIGABYTE GeForce RTX 3080 Ti 12GB 384BIT GDDR6X GV-N308TGAMING OC-12GD GPU,"$2,285.50",from United States
Gigabyte GeForce RTX 3080 Aorus Master 10GB GDDR6X GPU ✅NEW ✅ V1.0 ✅NON-LHR,$750.00,from United States
MSI NVIDIA GeForce RTX 3080 Gaming Z Trio 10GB GDDR6X Graphics Card GPU.,$998.00,from United States
ZOTAC Geforce RTX 3080 Ti AMP Holo 12GB Graphics Card GPU UPGRADED COOLING,$990.00,from United Kingdom
GIGABYTE AORUS  RTX 3080 Xtreme Waterforce WB 1‎0gb Gddr6x Graphics Card GPU,"$1,141.55",from United States
MSI NVIDIA GeForce RTX 3080 10GB GDDR6x GAMING X TRIO Graphics Card GPU,$950.00,from United States
GIGABYTE GeForce RTX 3080 Ti EAGLE 12GB GDDR6X Graphics Card GPU,"$1,095.00",from United Kingdom
NVIDIA RTX 3080 Founders Edition 10GB GPU NEW SEALED ✅ SHIPS TODAY,"$1,442.28",from United States
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X GPU,"$1,300.00",from United States
ASUS NVIDIA GeForce RTX 3080 TUF Gaming V2 10GB GDDR6X LHR GPU **SHIPS FAST**,$800.00,from United States
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING GPU 10GB,"$1,999.00",from United States
HP OEM NVIDIA GEFORCE RTX 3080 from Omen 30L Video Graphics Card GPU,"$3,918.00",from United States
Nvidia GeForce RTX 3080 GPU (Lenovo OEM version from Lenovo Legion T7 desktop),"$1,619.00",from United Kingdom
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X GPU 12G-P5-3967-KR,"$1,082.61",from United States
NVIDIA GeForce RTX 3080 FE Founders Edition GPU full hash rate,"$1,499.00",from United States
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB Graphics Card GPU 10G-P5-3897-KL,"$1,700.00",from United States
FACTORY SEALED NVIDIA GeForce RTX 3080 Ti 12GB Founders Edition FE GDDR6X GPU,"$1,400.00",from United States
EVGA GeForce RTX 3080 FTW3 ULTRA 10GB GDDR6X Non-LHR GPU (10G-P5-3897-KR),"$1,625.00",from United States
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X GPU NEW SEALED IN-HAND,"$1,388.00",from United States
NVIDIA GeForce RTX 3080 FE GPU SEALED *In Hand Ready To Ship* 100% Authentic,"$2,490.00",from United Kingdom
BRAND NEW NVIDIA GeForce RTX 3080 Ti Founders Edition FE 12GB GDDR6X GPU - FAST,"$1,323.19",from United States
DELL NVIDIA GEFORCE RTX 3080 10GB GDDR6X GPU GRAPHICS CARD  *NON-LHR*,"$1,750.00",?????????????????
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X GPU | Sealed - Ships NOW,????????,?????????????????
