date,tweet,username,displayname,description,replycity,retweetcount,likecount,language,source
2022-12-30 08:19:37+00:00,"👋👉All you want to start learning #DataScience at one place😎🙇🕵

https://t.co/IhV5LBPOmK
#pythonkachilla #rstats #pakdatasci",zartashia_afzal,Zartashia afzal,Tweets about #datascience #research #python/ Learner / Understanding the chemistry of data science,0,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-12-22 14:14:20+00:00,"👋Here are some free online resources to learn data science👇🧵
#python #pythonkachilla #rstats #MetaAnalysis #machinelearning #pakdatasci https://t.co/Rh8TgZczl9",zartashia_afzal,Zartashia afzal,Tweets about #datascience #research #python/ Learner / Understanding the chemistry of data science,1,1,6,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-12-19 19:05:28+00:00,"Metrics for models in machine learning
 #python #pythonkachilla #rstats #MetaAnalysis #machinelearning #pakdatasci https://t.co/giGxI2Zprz",zartashia_afzal,Zartashia afzal,Tweets about #datascience #research #python/ Learner / Understanding the chemistry of data science,1,1,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-12-19 11:05:05+00:00,"𝑨 𝒓𝒐𝒂𝒅𝒎𝒂𝒑 𝒕𝒐 𝒍𝒆𝒂𝒓𝒏 𝔻𝕒𝕥𝕒 𝕊𝕔𝕚𝕖𝕟𝕔𝕖 𝒇𝒓𝒆𝒆𝒍𝒚 𝒇𝒓𝒐𝒎 ℂ𝕠𝕕𝕒𝕟𝕚𝕔𝕤 𝒊𝒏 𝕌𝕣𝕕𝕦/ℍ𝕚𝕟𝕕𝕚 𝒘𝒊𝒕𝒉 𝒅𝒆𝒔𝒊 𝒔𝒕𝒚𝒍𝒆.
#pythonkachilla 
#pakdatasci 
#DataScience 
#pythonlearning

https://t.co/dl9d5oX3bB",Musharaf_Ahsan_,𝓜𝓾𝓼𝓱𝓪𝓻𝓪𝓯 𝓐𝓱𝓼𝓪𝓷,"Student at CUVAS.
Learning #Datascience and MetaAnalysis with @aammar_tufail•

CS • python 🐍 • #pakdatasci👥 •",0,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-12-18 10:22:58+00:00,#Football trends go beyond the pitch as machine learning techniques take center stage in analyzing and optimizing the game. open image 👇🖼️#NFLTwitter #EFL #pythonkachilla #rstats #MetaAnalysis #machinelearning #pakdatasci https://t.co/8K1CoNNNSs,zartashia_afzal,Zartashia afzal,Tweets about #datascience #research #python/ Learner / Understanding the chemistry of data science,0,2,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-12-15 19:06:03+00:00,"Different types of scores that can be used to evaluate the performance of a machine-learning model. Some common examples include accuracy, precision, recall, F1 score, ROC curve, and AUC. 
#python #pythonkachilla #machinelearning #pakdatasci #machinelearning #mldev",zartashia_afzal,Zartashia afzal,Tweets about #datascience #research #python/ Learner / Understanding the chemistry of data science,1,2,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-12-09 11:13:17+00:00,"The Heart of Data Science
#pythonkachilla #codanics #machinelearning #DataScience #pkcdobara https://t.co/LYiBZWAN2t",muneer_ahmed87,Muneer Ahmed,"learning #Data science
#pakdatascience",0,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-12-08 03:15:35+00:00,"What is the difference between Generative and Discriminative models?
#pythonkachill2 #pythonkachilla #pakdatasci #DataScience #MachineLearning #Datavisualization
#DeepLearning #NLP #AI
 Simple guide in a 🧵⬇️",kashifrazagill1,Kashif Raza,Engineer | RA at #LUMS | Enthusiast about Machine Learning and Data Science | #pakdataScience,1,0,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-11-22 18:46:22+00:00,"How to design a database based on requirements?
How to tackle complex programming logic?

#pythonkachilla #pakdatasci #DataScience #MachineLearning  #DataVisualization #SQL #Database",Rumman_Adnan,Rumman Adnan,Researcher | #ElectricalEngineer #DataAnalytics #rstats #PakDataSci  | I love #DataScience #Python and applied #MachineLearning,1,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-11-22 15:57:55+00:00,"100+ ML Algorithm
#pythonkachilla 
#pakdatasci 
#DataScience 
#pythonlearning https://t.co/r6QmEdkFM3",Musharaf_Ahsan_,𝓜𝓾𝓼𝓱𝓪𝓻𝓪𝓯 𝓐𝓱𝓼𝓪𝓷,"Student at CUVAS.
Learning #Datascience and MetaAnalysis with @aammar_tufail•

CS • python 🐍 • #pakdatasci👥 •",0,1,3,cs,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-11-20 04:02:18+00:00,#pakdatascience #pythonkachilla #codanics #machinelearning #DataScience https://t.co/cD3VyzRA0d,muneer_ahmed87,Muneer Ahmed,"learning #Data science
#pakdatascience",0,0,3,qme,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-11-19 18:35:52+00:00,"Question for #DataScientists and #pythonUsers :

How you will run a loop in float?? 

#pyhton #github #jupyternotebook #codanics #pakdatasci #questionair #pythonkachilla #pythonprogramming #deepnote #answers",FriaKhizar,Fria Khizar,#Datascientist | #Datawrangling | #Datavisualization | #Machinelearning | #Accountant | #Auditor at Bakhtawar Amin hospital.,0,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-11-19 13:44:22+00:00,#datascience #codanics #pkdata #pythonkachilla https://t.co/AcJUKGWLsT,muneer_ahmed87,Muneer Ahmed,"learning #Data science
#pakdatascience",0,1,0,qme,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-11-17 07:43:48+00:00,"Wrangling data is like interrogating a prisnor.  Just because you wrangled a confession doesn't mean you wrangled the answer. 

Said: #BradSchneirder

#datascience #python #machinelearning  #pythonkachilla #codanics #pakdatasci #DataVisualization",FriaKhizar,Fria Khizar,#Datascientist | #Datawrangling | #Datavisualization | #Machinelearning | #Accountant | #Auditor at Bakhtawar Amin hospital.,0,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-11-16 12:26:43+00:00,"While loops
#pkdata #codanic #pythonkachilla #DataScience https://t.co/qoNkZ7QijS",muneer_ahmed87,Muneer Ahmed,"learning #Data science
#pakdatascience",0,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-11-13 15:42:26+00:00,"Learn Data Visualization with @aammar_tufail at #codanic. 
join live at #codanic
https://t.co/u1p85Y6p7R

#dataviz 
#pythonkachilla 
#pakdatasci 
#DataScience 
#pythonlearning",Musharaf_Ahsan_,𝓜𝓾𝓼𝓱𝓪𝓻𝓪𝓯 𝓐𝓱𝓼𝓪𝓷,"Student at CUVAS.
Learning #Datascience and MetaAnalysis with @aammar_tufail•

CS • python 🐍 • #pakdatasci👥 •",0,0,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-11-11 23:44:52+00:00,"Confused about the history of #DataScience ??? 
well here is a brief info about Data science since 1943
#DataScience | #MachineLearning | #Python | #DataVisualization | #pythonkachilla | @aammar_tufail https://t.co/nTgP3VjeO6",UmairSalim5,Umair Salim,"Data Scientist
Python
Machine learning | Regular tweets about: #DataScience | #python #pythonkachilla #rstats | #pakdatasci | #ExploratoyDataAnalysis",0,1,2,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
2022-11-09 19:49:26+00:00,"These days I'm learning 𝐃𝐚𝐭𝐚 𝐒𝐜𝐢𝐞𝐧𝐜𝐞 from #𝐜𝐨𝐝𝐚𝐧𝐢𝐜𝐬 and my fellows ask me that 𝐖𝐡𝐨 𝐢𝐬 𝐃𝐚𝐭𝐚 𝐒𝐜𝐢𝐞𝐧𝐭𝐢𝐬𝐭? 𝐖𝐡𝐚𝐭 𝐝𝐨 𝐓𝐡𝐞𝐲 𝐃𝐨?
So answer is here.
#pythonkachilla 
#pakdatasci 
#DataScience 
#pythonlearning https://t.co/rmR98mosvB",Musharaf_Ahsan_,𝓜𝓾𝓼𝓱𝓪𝓻𝓪𝓯 𝓐𝓱𝓼𝓪𝓷,"Student at CUVAS.
Learning #Datascience and MetaAnalysis with @aammar_tufail•

CS • python 🐍 • #pakdatasci👥 •",0,0,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-11-09 12:21:53+00:00,"#helpful #DataScience #DataAnalytics #DataScientist #DataVisualization 
#pkcpaid #pythonkachilla #Ammartufail #drammartufail https://t.co/nlJBpqIGR8",SADaudpoto,Salman Abbasi Daudpoto,Learning to live,0,0,0,qht,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-11-06 17:33:57+00:00,#DataScience | #RNAseq | #RiboSeq | #Bioinformatics #python #pythonkachilla #rstats #MetaAnalysis #machinelearning #pakdatasci,1PgCLL19xLgVcT8,mubashar siddique,😜,0,1,4,qht,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-11-04 18:36:44+00:00,Python libraries frameworks. #pkdatascience #codanics #pythonkachilla https://t.co/xU3skf2ZY6,muneer_ahmed87,Muneer Ahmed,"learning #Data science
#pakdatascience",0,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-11-04 06:32:47+00:00,"What’s New in Python 3.11 ?
#pythonkachilla 
#pakdatasci 
#DataScience 
#pythonlearning
#Python 
🧵 https://t.co/KPjK0oGAqp",Musharaf_Ahsan_,𝓜𝓾𝓼𝓱𝓪𝓻𝓪𝓯 𝓐𝓱𝓼𝓪𝓷,"Student at CUVAS.
Learning #Datascience and MetaAnalysis with @aammar_tufail•

CS • python 🐍 • #pakdatasci👥 •",1,0,5,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
